algorithm,num_agents,num_items,distribution,min_value,sum_value,execution_time
Sequential,20,100,normal,87.0,2090.0,0.005838155746459961
Markakis&Psomas,20,100,normal,182.0,7687.0,0.06416511535644531
RoundRobin,20,100,normal,154.0,4942.0,0.0
Sequential,20,100,normal,87.0,1956.0,0.0
Markakis&Psomas,20,100,normal,179.0,7750.0,0.14543843269348145
RoundRobin,20,100,normal,172.0,4666.0,0.0
Sequential,20,100,normal,86.0,1955.0,0.0
Markakis&Psomas,20,100,normal,185.0,7673.0,0.06053519248962402
RoundRobin,20,100,normal,187.0,5090.0,0.0
Sequential,20,100,normal,89.0,2005.0,0.0
Markakis&Psomas,20,100,normal,167.0,7729.0,0.05020952224731445
RoundRobin,20,100,normal,173.0,4787.0,0.0
Sequential,20,100,normal,84.0,1922.0,0.0
Markakis&Psomas,20,100,exponential,107.0,7053.0,0.056984663009643555
RoundRobin,20,100,exponential,82.0,3238.0,0.0
Sequential,20,100,exponential,107.0,3159.0,0.0
Markakis&Psomas,20,100,exponential,110.0,6461.0,0.05853772163391113
RoundRobin,20,100,exponential,27.0,3868.0,0.002009153366088867
Sequential,20,100,exponential,85.0,2860.0,0.0
Markakis&Psomas,20,100,exponential,119.0,6878.0,0.05526471138000488
RoundRobin,20,100,exponential,28.0,3030.0,0.0
Sequential,20,100,exponential,97.0,2980.0,0.0
Markakis&Psomas,20,100,exponential,105.0,7340.0,0.051630496978759766
RoundRobin,20,100,exponential,58.0,3070.0,0.0
Sequential,20,100,exponential,105.0,3195.0,0.0
Markakis&Psomas,20,100,exponential,105.0,6732.0,0.06207633018493652
RoundRobin,20,100,exponential,44.0,3056.0,0.0
Sequential,20,100,exponential,105.0,3020.0,0.0
Markakis&Psomas,20,200,uniform,392.0,16918.0,0.07753372192382812
RoundRobin,20,200,uniform,345.0,9712.0,0.0
Sequential,20,200,uniform,96.0,1975.0,0.0
Markakis&Psomas,20,200,uniform,395.0,16686.0,0.08834195137023926
RoundRobin,20,200,uniform,402.0,10128.0,0.0010066032409667969
Sequential,20,200,uniform,98.0,1976.0,0.0020744800567626953
Markakis&Psomas,20,200,uniform,391.0,16840.0,0.09069299697875977
RoundRobin,20,200,uniform,318.0,10087.0,0.0019283294677734375
Sequential,20,200,uniform,98.0,1977.0,0.0009698867797851562
Markakis&Psomas,20,200,uniform,396.0,17019.0,0.08489060401916504
RoundRobin,20,200,uniform,303.0,9760.0,0.0
Sequential,20,200,uniform,98.0,1978.0,0.0
Markakis&Psomas,20,200,uniform,391.0,17127.0,0.08501338958740234
RoundRobin,20,200,uniform,345.0,10661.0,0.0008225440979003906
Sequential,20,200,uniform,98.0,1978.0,0.002007722854614258
Markakis&Psomas,20,200,normal,407.0,15815.0,0.1399555206298828
RoundRobin,20,200,normal,389.0,10408.0,0.0
Sequential,20,200,normal,93.0,2070.0,0.002814769744873047
Markakis&Psomas,20,200,normal,405.0,15478.0,0.08088850975036621
RoundRobin,20,200,normal,387.0,10288.0,0.0
Sequential,20,200,normal,91.0,2032.0,0.0
Markakis&Psomas,20,200,normal,401.0,15612.0,0.07899260520935059
RoundRobin,20,200,normal,363.0,9747.0,0.0
Sequential,20,200,normal,92.0,2055.0,0.004403829574584961
Markakis&Psomas,20,200,normal,400.0,15789.0,0.0816650390625
RoundRobin,20,200,normal,393.0,10054.0,0.0
Sequential,20,200,normal,87.0,2029.0,0.001009225845336914
Markakis&Psomas,20,200,normal,410.0,15537.0,0.08807969093322754
RoundRobin,20,200,normal,384.0,9835.0,0.0
Sequential,20,200,normal,95.0,2069.0,0.0
Markakis&Psomas,20,200,exponential,174.0,14172.0,0.09035134315490723
RoundRobin,20,200,exponential,191.0,6478.0,0.004383087158203125
Sequential,20,200,exponential,116.0,3201.0,0.0010883808135986328
Markakis&Psomas,20,200,exponential,146.0,13907.0,0.08618998527526855
RoundRobin,20,200,exponential,146.0,5938.0,0.0
Sequential,20,200,exponential,112.0,3401.0,0.0
Markakis&Psomas,20,200,exponential,135.0,13881.0,0.0934145450592041
RoundRobin,20,200,exponential,154.0,5467.0,0.004545688629150391
Sequential,20,200,exponential,126.0,3602.0,0.0
