input_range,equal_capacities,equal_valuations,binary_valuations,num_of_items,category_count,item_capacity_bounds,random_seed_num,num_of_agents,algorithm,current_algorithm_bundle_min_value,current_algorithm_bundle_sum,runtime
input_ranges_algorithm_1,True,True,True,1,76,1,0,76,egalitarian_algorithm,0.0,0.0,0.1410699370026122
input_ranges_algorithm_1,True,True,True,1,76,1,0,76,utilitarian_algorithm,0.0,0.0,0.0060226990026421
input_ranges_algorithm_1,True,True,True,1,76,1,0,76,iterated_maximum_matching,0.0,0.0,0.0059936999750789
input_ranges_algorithm_1,True,True,True,1,76,1,0,91,egalitarian_algorithm,0.0109890109890109,0.9999999999999984,0.2012935120146721
input_ranges_algorithm_1,True,True,True,1,76,1,0,91,utilitarian_algorithm,0.0,1.0,0.0075043819961138
input_ranges_algorithm_1,True,True,True,1,76,1,0,91,iterated_maximum_matching,0.0,1.0,0.0102791110111866
input_ranges_algorithm_1,True,True,True,1,76,1,0,106,egalitarian_algorithm,0.0,0.0,0.198162440006854
input_ranges_algorithm_1,True,True,True,1,76,1,0,106,utilitarian_algorithm,0.0,0.0,0.0089226109848823
input_ranges_algorithm_1,True,True,True,1,76,1,0,106,iterated_maximum_matching,0.0,0.0,0.0089137539907824
input_ranges_algorithm_1,True,True,True,1,91,1,0,1,per_category_round_robin,0.0,0.0,0.0564442359900567
input_ranges_algorithm_1,True,True,True,1,91,1,0,1,per_category_round_robin_optimized,0.0,0.0,0.0075290730164851
input_ranges_algorithm_1,True,True,True,1,91,1,0,1,egalitarian_algorithm,0.0,0.0,0.0071646660217083
input_ranges_algorithm_1,True,True,True,1,91,1,0,1,utilitarian_algorithm,0.0,0.0,0.0010573049949016
input_ranges_algorithm_1,True,True,True,1,91,1,0,1,iterated_maximum_matching,0.0,0.0,0.0013398529845289
input_ranges_algorithm_1,True,True,True,1,91,1,0,16,per_category_round_robin,0.0,0.0,2.7666676770022605
input_ranges_algorithm_1,True,True,True,1,91,1,0,16,per_category_round_robin_optimized,0.0,0.0,3.021655736985849
input_ranges_algorithm_1,True,True,True,1,91,1,0,16,egalitarian_algorithm,0.0,0.0,0.0382540609862189
input_ranges_algorithm_1,True,True,True,1,91,1,0,16,utilitarian_algorithm,0.0,0.0,0.0027806659927591
input_ranges_algorithm_1,True,True,True,1,91,1,0,16,iterated_maximum_matching,0.0,0.0,0.0026191340002696
input_ranges_algorithm_1,True,True,True,1,91,1,0,31,per_category_round_robin,0.0,1.0,10.6739199149888
