num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
200,25,1.0,iterated_maximum_matching_adjusted,0,,64.09454137,50.61082024,14.79289941,1.529072621,1,1.0,192,200,200,1.0119637
200,25,1.0,iterated_maximum_matching_adjusted,1,,72.36116851,56.67276051,13.71115174,0.744460521,1,1.0,197,200,200,0.9130794
200,25,1.0,iterated_maximum_matching_adjusted,2,,65.86651503,46.95222405,11.95876289,0.85392688,1,1.0,195,200,200,0.8921135
200,25,1.0,iterated_maximum_matching_adjusted,3,,64.05442721,51.67785235,17.48366013,1.23299044,1,1.0,200,200,200,0.9090136
200,25,1.0,iterated_maximum_matching_adjusted,4,,58.59322678,42.33128834,15.75456053,2.551403826,1,1.0,191,200,200,0.9918378
200,25,1.0,TTC_function,0,,63.57418618,44.65290807,16.75675676,2.928789108,1,1.0,190,200,200,0.0961872
200,25,1.0,TTC_function,1,,71.84045327,55.31914894,14.55847255,1.424525293,1,1.0,197,200,200,0.1434558
200,25,1.0,TTC_function,2,,65.44298712,47.55244755,11.9047619,1.843281854,1,1.0,195,200,200,0.1434862
200,25,1.0,TTC_function,3,,63.43474132,46.07679466,12.7388535,2.183731363,1,1.0,200,200,200,0.1309854
200,25,1.0,TTC_function,4,,58.00593884,39.77746871,15.35776614,3.467038889,1,1.0,193,199,200,0.1192049
200,25,1.0,SP_function,0,,61.72155526,45.40337711,11.57024793,2.000161881,1,1.0,190,200,200,0.1587276
200,25,1.0,SP_function,1,,70.34866753,54.44234405,7.522123894,0.8803256,1,1.0,197,200,200,0.1517349
200,25,1.0,SP_function,2,,63.87994287,43.59400998,13.32149201,1.63234615,1,1.0,195,200,200,0.1481337
200,25,1.0,SP_function,3,,61.8568995,50.55970149,11.83800623,1.607850583,1,1.0,200,200,200,0.1554642
200,25,1.0,SP_function,4,,55.89208055,39.11719939,12.06030151,2.160474167,1,1.0,193,199,200,0.1256311
300,25,0.0,iterated_maximum_matching_unadjusted,0,,39.14062154,27.43362832,18.45794393,5.61478423,3,2.666666667,156,240,287,1.2339431
300,25,0.0,iterated_maximum_matching_unadjusted,1,,45.01083934,36.4640884,13.8121547,3.727499618,3,2.666666667,224,288,298,1.2195036
300,25,0.0,iterated_maximum_matching_unadjusted,2,,39.12003016,29.28416486,14.68531469,4.183439429,3,2.666666667,188,269,290,1.1031256
300,25,0.0,iterated_maximum_matching_unadjusted,3,,39.23871827,30.59360731,14.18764302,4.662395759,3,2.666666667,228,286,300,1.1524309
300,25,0.0,iterated_maximum_matching_unadjusted,4,,34.01682922,23.22834646,18.83116883,4.451659196,3,2.666666667,155,212,246,1.1647528
300,25,0.0,iterated_maximum_matching_adjusted,0,,39.14062154,27.43362832,18.45794393,5.61478423,3,2.666666667,156,240,287,1.2889417
300,25,0.0,iterated_maximum_matching_adjusted,1,,45.01083934,36.4640884,13.8121547,3.727499618,3,2.666666667,224,288,298,1.2131599
300,25,0.0,iterated_maximum_matching_adjusted,2,,39.12003016,29.28416486,14.68531469,4.183439429,3,2.666666667,188,269,290,1.2943682
300,25,0.0,iterated_maximum_matching_adjusted,3,,39.23871827,30.59360731,14.18764302,4.662395759,3,2.666666667,228,286,300,1.2864615
